name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
paul mitchell the schoolarlington,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,paul mitchell the schoolarlington
southwest mississippi community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,southwest mississippi community college
western nebraska community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,western nebraska community college
culinary institute inc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,culinary institute inc
regis university,"Denver, CO",3.7,1157.0,67577.6,69672.69230769231,0.76,25,PRIVATE,4 YEAR,25483.0,4668.0,https://www.appily.com/colleges/gpa/3-8,N/A,N/A,regis university
associated barber college of san diego,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,associated barber college of san diego
orion technical college,N/A,N/A,N/A,60220.0,59615.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orion technical college
mississippi delta community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mississippi delta community college
union college,"Schenectady, NY",3.7,1411.0,52514.333333333336,76354.0,0.47,32,PRIVATE,4 YEAR,39101.0,2107.0,https://www.appily.com/colleges/gpa/3-8,N/A,N/A,union college
millikin university,"Decatur, IL",3.7,1112.0,40539.8,55098.73333333333,0.75,23,PRIVATE,4 YEAR,19948.0,1807.0,https://www.appily.com/colleges/gpa/3-8,N/A,N/A,millikin university
calumet college of saint joseph,"Whiting, IN",2.7,N/A,44376.5,N/A,N/A,--,PRIVATE,4 YEAR,10275.0,658.0,https://www.appily.com/colleges/gpa/2-8,N/A,N/A,calumet college of saint joseph
academy of cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,academy of cosmetology
empire state university,N/A,N/A,N/A,52039.0,61958.333333333336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,empire state university
hope international university,"Fullerton, CA",3.4,1001.0,40955.0,55025.0,0.32,19,PRIVATE,4 YEAR,20470.0,1116.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,hope international university
benedictine university,"Lisle, IL",3.4,1098.0,46769.0,66198.21428571429,0.93,21,PRIVATE,4 YEAR,27061.0,3123.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,benedictine university
california beauty school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,california beauty school
freedhardeman university,"Henderson, TN",3.8,1196.0,49954.0,49182.77777777778,0.91,27,PRIVATE,4 YEAR,16703.0,2330.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,freedhardeman university
kent state university at geauga,"Burton, OH",2.7,N/A,39256.0,49908.833333333336,N/A,--,PUBLIC,4 YEAR,8324.0,2095.0,https://www.appily.com/colleges/gpa/2-8,N/A,N/A,kent state university at geauga
